Date,County,Total,Serious(Hospitalized),Dead
29.04.2020,Essex,8380,354,425
29.04.2020,Franklin,252,11,35
29.04.2020,Hampden,3698,192,358
29.04.2020,Hampshire,531,18,26
29.04.2020,Middlesex,13799,516,802
29.04.2020,Nantucket,11,0,0
29.04.2020,Norfolk,5700,260,484
29.04.2020,Plymouth,4871,233,273
29.04.2020,Suffolk,12539,1462,504
29.04.2020,Unknown,457,,5
29.04.2020,Worcester,5300,337,253
30.04.2020,Barnstable,860,25,43
30.04.2020,Berkshire,442,11,35
30.04.2020,Bristol,3580,232,172
30.04.2020,Dukes,17,0,1
30.04.2020,Essex,8673,369,448
30.04.2020,Franklin,257,4,37
30.04.2020,Hampden,3777,175,373
30.04.2020,Hampshire,546,22,30
30.04.2020,Middlesex,14208,721,845
30.04.2020,Nantucket,11,0,0
30.04.2020,Norfolk,5896,249,499
30.04.2020,Plymouth,5083,246,285
30.04.2020,Suffolk,12890,1389,524
30.04.2020,Unknown,415,,5
